,id,Amazon Standard Identification Number,reviews_numHelpful,reviews_rating,reviews,reviews_summary,reviews_username,length_of_reviews,feedback
183,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,8.0,5.0,"ok i've technology field close 20 year gamer since 80's know little something controllers. really awesome controller great feel it. doesnt feel cheap way, work perfect. also voice search button work great volume control via shoulder button headphone plugged in. ive read review bad battery life havent found issue mine. bought late december battery due changed late april. would like see rechargable battery built instead maybe future.",Great Controller,Linda Watson,435,1
184,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,24.0,5.0,huge fan amazon fire stick son realllly want play game remote. little pricey opinion. work great though know return breaks!,Works great though and I know I can return if it ...,Ashley,123,1
185,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,4.0,5.0,second one great! used remote also. easy pair fire tv. received first one purchased gaming edition fire tv liked much bought second one son. gamer happy it.i would recommend product anyone gamer. many game available fire tv play flawlessly fire tv,Great Game Controller for Fire TV,Theresa,247,1
187,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,3.0,1.0,connection drop's unit pretty bad. hardly get thru game disconnect.,This needs to be way better for the amount I spent on it.,JEREMY L THOMPSON,67,0
188,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,2.0,4.0,great add-on amazon fire stick like play games. work well would definite buy again.,Great add-on if you own a amazon fire stick and ...,Daultim,83,1
189,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,19.0,5.0,"amazon need another 5 star review remote, damn. great remote. never game console house. 4 year old blast playing crossy road shark evolution big screen tv remote. super great. glad bought it.",Makes games fun.,Erika S.,191,1
190,AV1T09FYVKC47QAVGF2R,B00NO8LX7E,13.0,5.0,nice controller,Five Stars,Jerry,15,1
192,AV1T0-J7VKC47QAVGF2T,B01FWSVGQQ,123.0,4.0,"updating review two month ago.. initial review sling cover based first impression receiving it. today using tap sling daily last two month felt like needed modify review. originally recommend product, living it, growing like it, changing recommendation.the truth is, base top feel protected appearance would believe. dropped couple time protected sling. think rubber absorbs force fall. also, sat puddle bottom protected rubber sling.i initially upset sling preventing charging charging dock, big problem thought would be. pull bottom sling charge (leaving top sling on). easy easy back after.my real lingering complaint would price. 20 essentially thin piece rubber wrapping top bottom still seems little excessive. increasing star one. really price thing keeping 5 star me. come really like sling. also bought cheap pouch throw transporting it. eased concern keeping clean/safe throwing work bag.my original below. overall, would (and have) recommended sling protect tap.received tap sling cover last 24 hours.read",Updated review (after 2 months)...,Jbird,1016,1
193,AV1T0-J7VKC47QAVGF2T,B01FWSVGQQ,122.0,5.0,"sling simply awesome amazon tap!! tap arrived morning along sling currently testing product speak!! sling allowed easy access carry tap work today!!one nice thing like tap sling required nice addition.. provides great protection tap, needed for.. tap going like mini, portable sonos me.. going speaker take daily!! wanted sling protect speaker keep getting dinged up.. even though provides minimal coverage speaker, still protects dings! minimal coverage needed hurt sound quality coming speaker... taking speaker beach, camping, hiking, parties, wanted something protect use!! sling going that!!another thing allows hang bag!! first, afraid silicone strong enough would stretch.. well far, issues!! use carabiner attach bag!! stretching super easy carry tap me!pros1.) access button sling2.) charge sling (via usb port dock)3.) allows personalization tap4.) protects tap ding since tap home use, great5.) love bright vibrant colors6.) silicone plenty strong enough hanging7.) adversely affect sound qualityoverall: feel 20 sling little high protection provides brand new tap, happy it.. buy tap sit still home..read",Provides Excellent protection for my new tap that is out and about with me as we speak!!!,Devin Stephens,1116,1
194,AV1T0-J7VKC47QAVGF2T,B01FWSVGQQ,36.0,5.0,"ok first thing first, also echo echo love tap.now see lot review around internet people saying wish tap voice enabled like echo. happen think people completely thinking thing through. echo meant mobile device. generally sits somewhere house voice command great feature have. tap meant mobile, therefore happy voice command device. would want beach subway coffee shop thing think world taking it. actually think voice command well thought feature. echo kitchen counter tap studio office. leave office grab go.i bought sale 89 went store listened many bluetooth speakers. yes charge 3 sound better, charge 3 bluetooth speaker. tap much le . tap sound great. looking online little nervous would sound great, 100 wrong that. product 89 sound good tap does.i paid given tap write review. i'm consumer market bluetooth speaker, could happier choice.also buy device buy amazon sling well. trust want it. honestly happy got one cover bottom tap. sitting table someone knocked drink would want bottom charging ring exposed.that's it, that's all. buy it, disappointed!!!!!",I also own a Echo and if you own a Echo you will love the Tap,CHRISTOPHER JONES,1062,1
195,AV1T0TI-JTXR-F31COV,B01FWSVGQQ,123.0,4.0,"updating review two month ago.. initial review sling cover based first impression receiving it. today using tap sling daily last two month felt like needed modify review. originally recommend product, living it, growing like it, changing recommendation.the truth is, base top feel protected appearance would believe. dropped couple time protected sling. think rubber absorbs force fall. also, sat puddle bottom protected rubber sling.i initially upset sling preventing charging charging dock, big problem thought would be. pull bottom sling charge (leaving top sling on). easy easy back after.my real lingering complaint would price. 20 essentially thin piece rubber wrapping top bottom still seems little excessive. increasing star one. really price thing keeping 5 star me. come really like sling. also bought cheap pouch throw transporting it. eased concern keeping clean/safe throwing work bag.my original below. overall, would (and have) recommended sling protect tap.received tap sling cover last 24 hours.read",Updated review (after 2 months)...,Jbird,1016,1
196,AV1T0TI-JTXR-F31COV,B01FWSVGQQ,122.0,5.0,"sling simply awesome amazon tap!! tap arrived morning along sling currently testing product speak!! sling allowed easy access carry tap work today!!one nice thing like tap sling required nice addition.. provides great protection tap, needed for.. tap going like mini, portable sonos me.. going speaker take daily!! wanted sling protect speaker keep getting dinged up.. even though provides minimal coverage speaker, still protects dings! minimal coverage needed hurt sound quality coming speaker... taking speaker beach, camping, hiking, parties, wanted something protect use!! sling going that!!another thing allows hang bag!! first, afraid silicone strong enough would stretch.. well far, issues!! use carabiner attach bag!! stretching super easy carry tap me!pros1.) access button sling2.) charge sling (via usb port dock)3.) allows personalization tap4.) protects tap ding since tap home use, great5.) love bright vibrant colors6.) silicone plenty strong enough hanging7.) adversely affect sound qualityoverall: feel 20 sling little high protection provides brand new tap, happy it.. buy tap sit still home..read",Provides Excellent protection for my new tap that is out and about with me as we speak!!!,Devin Stephens,1116,1
197,AV1T0TI-JTXR-F31COV,B01FWSVGQQ,36.0,5.0,"ok first thing first, also echo echo love tap.now see lot review around internet people saying wish tap voice enabled like echo. happen think people completely thinking thing through. echo meant mobile device. generally sits somewhere house voice command great feature have. tap meant mobile, therefore happy voice command device. would want beach subway coffee shop thing think world taking it. actually think voice command well thought feature. echo kitchen counter tap studio office. leave office grab go.i bought sale 89 went store listened many bluetooth speakers. yes charge 3 sound better, charge 3 bluetooth speaker. tap much le . tap sound great. looking online little nervous would sound great, 100 wrong that. product 89 sound good tap does.i paid given tap write review. i'm consumer market bluetooth speaker, could happier choice.also buy device buy amazon sling well. trust want it. honestly happy got one cover bottom tap. sitting table someone knocked drink would want bottom charging ring exposed.that's it, that's all. buy it, disappointed!!!!!",I also own a Echo and if you own a Echo you will love the Tap,CHRISTOPHER JONES,1062,1
